0.1, 0, 0.50880058273688
0.5, 0, 0.5573587564673308
1, 0, 0.5574117889140456
1.5, 0, 0.5615239805593719
2, 0, 0.5767610476543327
2.5, 0, 0.5825353782759878
4, 0, 0.5979167274180521
8, 0, 0.5847132372851725
16, 0, 0.5975614052739014
0.1, 0.01, 0.47671025462817995
0.5, 0.01, 0.5564100918970196
1, 0.01, 0.563056812849605
1.5, 0.01, 0.5648318145292353
2, 0.01, 0.5956946781976379
2.5, 0.01, 0.5863136834249145
4, 0.01, 0.6094604025202834
8, 0.01, 0.594686826824787
16, 0.01, 0.5909596372728846
0.1, 0.02, 0.44097843727828245
0.5, 0.02, 0.5281348034747755
1, 0.02, 0.592797336490903
1.5, 0.02, 0.5851812038684089
2, 0.02, 0.5764917233248735
2.5, 0.02, 0.604131037074353
4, 0.02, 0.5974724847395209
8, 0.02, 0.5894189219367166
16, 0.02, 0.6139974276954868
0.1, 0.05, 0.44145251065504776
0.5, 0.05, 0.5315956798888894
1, 0.05, 0.5765638435005374
1.5, 0.05, 0.5552326156586509
2, 0.05, 0.5709199802825862
2.5, 0.05, 0.5770394175348805
4, 0.05, 0.5909010633628398
8, 0.05, 0.5906259752915367
16, 0.05, 0.617617508148579
0.1, 0.1, 0.43688618688086184
0.5, 0.1, 0.5486391209950261
1, 0.1, 0.5690015604145621
1.5, 0.1, 0.5802533914652146
2, 0.1, 0.5799725457656127
2.5, 0.1, 0.5896141857982605
4, 0.1, 0.5837389021274403
8, 0.1, 0.6011798272685922
16, 0.1, 0.6066026965662614
0.1, 0.2, 0.4004812527219018
0.5, 0.2, 0.5011742820758844
1, 0.2, 0.5669980803810384
1.5, 0.2, 0.5667172442434617
2, 0.2, 0.5740765117135279
2.5, 0.2, 0.5996716987462617
4, 0.2, 0.6036545762478929
8, 0.2, 0.6099113806543944
0.1, 0.4, 0.4427676945724313
0.5, 0.4, 0.5169367771651774
1, 0.4, 0.5485738730365719
1.5, 0.4, 0.5740325245230661
2, 0.4, 0.5781828932614869
2.5, 0.4, 0.5786326220008979
4, 0.4, 0.5939641938967968
