-----------------------
Val = 1.0, host1

0,
0.01,
0.05,
0.1,
0.2,
0.5,
1.0,


-----------------------
Val = 1.0, Cedar

0, [62.138728323699425, 75.14450867052022, 74.56647398843931, 66.76300578034682, 74.85549132947978], 70.69364161849711
0.01, [64.73988439306359, 78.03468208092485, 73.41040462427746, 54.6242774566474, 74.85549132947978], 69.13294797687863
0.05, [59.53757225433526, 74.56647398843931, 73.121387283237, 62.716763005780344, 73.98843930635839], 68.78612716763006
0.1, [59.82658959537572, 72.54335260115607, 72.25433526011561, 64.45086705202313, 76.878612716763], 69.1907514450867
0.2, [66.18497109826589, 74.85549132947978, 70.52023121387283, 65.60693641618496, 72.25433526011561], 69.88439306358381
0.5, [61.84971098265896, 71.09826589595376, 73.69942196531792, 65.60693641618496, 75.14450867052022], 69.47976878612717
1.0, [65.3179190751445, 77.74566473988439, 72.25433526011561, 63.58381502890173, 75.14450867052022], 70.8092485549133
