-----------------------
Val = min(AUX_Fraction, 0.1)

AUX_FRACTION, RUNS, AVERAGE
0, [0.7072948178225648, 0.7200814006090943, 0.7160420337898362], 0.7144727507404984
0.01, [0.7161427180171603, 0.701049305816158, 0.7187735065145515], 0.7119885101159568
0.05, [0.7144800438588569, 0.6993367831982831, 0.7139881814089546], 0.7092683361553648
0.1, [0.7044275507767379, 0.7220164818066557, 0.7033104112610172], 0.7099181479481369
0.2, [0.6977916586736763, 0.6981278113009216, 0.7067961064893753], 0.7009051921546577
0.5,
1,

0, [0.5425334086387925, 0.556595382177757, 0.5471739347561658], 0.548767575190905
0.01, [0.5558273049976873, 0.5493770200541511, 0.5777538761224226], 0.560986067058087
0.05, [0.5725170287100915, 0.5324683918221671, 0.5649673531480668], 0.5566509245601085
0.1, [0.5417160703225207, 0.575843147478468, 0.5574977820051875], 0.5583523332687254
0.2, [0.5588966911094805, 0.5437499328547531, 0.5455107720873376], 0.5493857986838571
0.5,
1,

-----------------------
Val = 1.0

