-----------------------
Val = 1.0, host1

0, [0.7072948178225648, 0.7200814006090943, 0.7160420337898362], 0.7144727507404984
0.01, [0.7131020892154163, 0.7146410257516083, 0.7046132843866305], 0.7107854664512184
0.05, [0.7188072545857228, 0.7279239505052415, 0.7146442198023462], 0.7204584749644368
0.1, [0.7188391976831527, 0.7143959371747189, 0.7160543809090841], 0.7164298385889852
0.2, [0.7209604183836215, 0.7023177321669466, 0.7147346514146603], 0.7126709339884094
0.5, [0.7106100947492917, 0.7103879427886717, 0.7015093130505984], 0.7075024501961873
1.0, [0.7000082585319143, 0.7231847559322592, 0.7135812560613463], 0.7122580901751733
0, [0.5425334086387925, 0.556595382177757, 0.5471739347561658], 0.548767575190905
0.01, [0.550658400212975, 0.5712171619833404, 0.5220892607101563], 0.5479882743021572
0.05, [0.587179331552245, 0.5666720067530144, 0.5518315593423561], 0.5685609658825385
0.1, [0.5764470176169061, 0.5487511902538327, 0.5423046488873535], 0.5558342855860308
0.2, [0.5989174010670042, 0.5582462227366656, 0.571046972538474], 0.5760701987807146
0.5, [0.5463246072419947, 0.5371634801565991, 0.5520567766069485], 0.5451816213351807
1.0, [0.5170912470509507, 0.5546864220942872, 0.5751359461455294], 0.5489712050969224
