-----------------------
Val = 1.0, host3

0, [0.7124864541411986, 0.7023308979006704, 0.7179558717808213, 0.6951434273889116, 0.6892817633938042], 0.7034396829210813
0.01, [0.7015391473439027, 0.7003025098398398, 0.6949615017936244, 0.6907941828020321, 0.697706756975987], 0.6970608197510771
0.05, [0.6922129669487332, 0.7139007521766192, 0.7111619474733163, 0.6959119472827355, 0.691413333998959], 0.7009201895760727
0.1, [0.7083076875956624, 0.6991176062639503, 0.7067683297575451, 0.7001897399086477, 0.6955003480841605], 0.7019767423219931
0.2,
0.5,
1.0,
0, [0.6061143425220535, 0.5809844724801968, 0.6050053057321338, 0.5933925347141054, 0.6030163828605943], 0.5977026076618168
0.01, [0.6022947483723711, 0.5992650286734046, 0.5647339643160647, 0.5911661411175557, 0.6094419942273632], 0.5933803753413519
0.05, [0.600458838393586, 0.6021740799421933, 0.5783647637806715, 0.5926679655340746, 0.5994461353464877], 0.5946223565994027
0.1, [0.5905423723941922, 0.5799328520841074, 0.6257777149500675, 0.5752924302119482, 0.6083588081883563], 0.5959808355657342
0.2,
0.5,
1.0,


-----------------------
Val = 1.0, Cedar (batch size = 24)

0, [0.69580795316774, 0.7204613611029889, 0.7030840412192532, 0.7247900479728914, 0.712391304965777], 0.71130694168573
0.01, [0.7161175985257835, 0.7190770276563857, 0.719025200156488, 0.7066721383667709, 0.7144900136899672], 0.715076395679079
0.05, [0.7097820667899813, 0.7092926291770858, 0.7004006682965882, 0.6999502341797637, 0.7038334144524367], 0.7046518025791711
0.1, [0.7131553780620316, 0.7126198681850393, 0.7056339579024108, 0.7166169855319142, 0.7082090131980469], 0.7112470405758885
0.2, [0.7303255721877089, 0.7228282487528183, 0.7268072607508468, 0.7032967354540831, 0.712391304965777], 0.7191298244222467
0.5, [0.7391300917963236, 0.7169090677341099, 0.717353730989795, 0.7170401310205531, 0.710207879830921], 0.7201281802743404
1.0, [0.7193829267240536, 0.7332064108325534, 0.7274314485272321, 0.7117215815764207, 0.7009808478652038], 0.7185446431050927
0, [0.6024682539836704, 0.6224236576079392, 0.6289549741263921, 0.6335004026215943, 0.6270823322206082], 0.6228859241120409
0.01, [0.6274011662366061, 0.620305345121723, 0.6445493312737612, 0.6231506019948007, 0.6219113493974439], 0.6274635588048669
0.05, [0.6426791492946515, 0.610699103550781, 0.6301099808340734, 0.6155877644626241, 0.6312630431598051], 0.6260678082603871
0.1, [0.599950479954915, 0.6030218823775303, 0.6100613579860521, 0.6426358115252871, 0.6264155675692864], 0.6164170198826142
0.2, [0.6295797354358452, 0.6287070273159711, 0.6510350405305795, 0.6238182157291536, 0.6511512215696469], 0.6368582481162394
0.5, [0.6318944568209109, 0.6071512206292485, 0.6349744564844069, 0.6404836780232515, 0.644949898597564], 0.6318907421110763
1.0, [0.6319006851608168, 0.6378669203997545, 0.6351647398497471, 0.616183276980979, 0.6159983046222454], 0.6274227854027086
